,T-1,T-2,T-3,CK-1,CK-2,CK-3,pvalue,log2FC,UPDOWN
BraA09001795,32,53,45,33,53,41,0.911403742920888,0.0336831262562886,Not sig
BraA09001800,69,119,137,12,1,2,0.0334285687974497,4.4374053123073,Up
BraA09001801,20,23,23,3,0.005,9,0.0124195870730548,2.45883062090276,Up
BraA09001802,121,206,190,5,0.005,0.005,0.0221925168178094,6.68920986689445,Up
BraA09001806,398,403,426,433,388,345,0.514578023658124,0.0735674604624084,Not sig
BraA09001807,239,342,257,314,408,496,0.123084228137958,-0.539491984206981,Not sig
BraA09001809,0.005,0.005,0.005,8,9,18,0.0669672125114316,-11.1881767059985,Not sig
BraA09001811,37,51,50,54,47,55,0.326025232383903,-0.176877762084079,Not sig
BraA09001812,0.005,0.005,2,4.5,3.5,3.08,0.0251126548924025,-2.46269047487026,Down
BraA09001813,26.09,19.63,22.79,3.36,6.29,2.62,0.00232214099672034,2.4811793361154,Up
BraA09001815,0.005,0.005,0.005,23,29,3,0.144956752987967,-11.8402534025782,Not sig
BraA09001816,30,27,16,53,50,91,0.0807233904645566,-1.41008828330711,Not sig
BraA09001819,38,51,55,30,32,32,0.0807746302265779,0.615336149764675,Not sig
BraA09001820,98,90,101,95,123,88,0.655631301972125,-0.082462160191973,Not sig
BraA09001824,5,8,3.5,4.5,8,5,0.855761137553344,-0.0848888975865129,Not sig
BraA09001825,36,43,53,92,107,127,0.011571593601938,-1.30433403487262,Down
BraA09001827,76,76,65,0.005,0.005,2,0.00199393616470255,6.75435573104027,Up
BraA09001830,57,89,62,12,30,16,0.0201241519716285,1.84245872301352,Up
BraA09001831,193,217,232,9,4,2,0.00225363361032095,5.41953889151378,Up
BraA09001834,28,33,17,19,14,16,0.169247677720856,0.67069237474704,Not sig
BraA09001836,73,95,83,118,101,136,0.0541317115498925,-0.500131660441272,Not sig
BraA09001837,67,74,61,60,77,87,0.465246221749394,-0.14914343930581,Not sig
BraA09001838,5,2,10,4,1,26,0.619831789723739,-0.866733469136536,Not sig
BraA09001839,2,1,1,0.005,0.005,1,0.10139614421257,1.98564470702293,Not sig
BraA09001840,115,164,137,133,175,128,0.762079782502506,-0.0677446066358345,Not sig
BraA09001843,136,208,142,257,334,339.3,0.0141979451066999,-0.936739712840635,Not sig
BraA09001844,50,47,25,1031,919,454,0.0496672358848695,-4.3004838431483,Down
BraA09001845,0.005,2,0.005,3,18,0.005,0.373195777828232,-3.38546537930759,Not sig
BraA09001846,21,27,28.5,36,39,39,0.0191213637010109,-0.57550217147209,Not sig
BraA09001847,66,54,33,218,231,148,0.0188808512645009,-1.96419927857215,Down
BraA09001848,86,141,104,347,351,195,0.0565843835994331,-1.43182895831401,Not sig
BraA09001850,65,74,105,90,82,103,0.502556454249775,-0.172550470849136,Not sig
BraA09001851,1089,1112,1140,133,139,154,2.64053602145548e-05,2.97135464710913,Up
BraA09001857,7,10,12,0.005,4,1,0.014245492849119,2.5346109260663,Up
BraA09001858,67,93,106,184,165,172,0.00772134630540355,-0.969857126777318,Not sig
BraA09001859,148,176,146,391,392,271,0.0340025132366156,-1.16514220507221,Down
BraA09001864,10,2,2,14,11,22,0.0625254017476409,-1.74723392962003,Not sig
BraA09001866,1110.58,1294.09,1272.91,1642.45,1908.52,1119.14,0.287626682266169,-0.344699806249654,Not sig
BraA09001867,1684.11,1877.77,1708.39,1502.96,1799.4,1458.54,0.257030180617174,0.146642547913592,Not sig
BraA09001868,1283.97,1452.26,1145.47,1263.48,1527.56,1524.56,0.310357333653114,-0.152872529325688,Not sig
BraA09001869,190.33,216.73,209.72,223.34,303.85,183.85,0.469472122987575,-0.205174737339983,Not sig
BraA09001874,26,16,29,2,0.005,5,0.0217650073246923,3.34136206884859,Up
BraA09001877,29.12,16.98,19.48,8.43,29,25.16,0.899740203260277,0.0673237254491817,Not sig
BraA09001880,199,229,198,1190,1283,925,0.0126170444482003,-2.4404512902516,Down
BraA09001881,4,5,2,3,2,1,0.20017303952051,0.874469117916141,Not sig
BraA09001883,480,489,638,1,1,0.005,0.00904392636390023,9.6465519769949,Up
BraA09001884,22,58,35,42,77,168,0.263054021080216,-1.31941687573131,Not sig
BraA09001885,2788,2532,2995,234,226,566,0.000187064560791536,3.01868553256758,Up
BraA09001886,0.005,0.005,2.14,2.42,0.005,0.94,0.706305963464628,-0.646269845020857,Not sig
BraA09001888,140,137,98,126,129,161,0.481346468589487,-0.149692932757849,Not sig
BraA09001891,70,48,34,43,57,55,0.935980232346466,-0.0281968918306521,Not sig
BraA09001895,0.005,0.005,0.005,1,3,4,0.094483921353394,-9.05889368905357,Not sig
BraA09001897,710,1173,774,287,341,193,0.0422809939769203,1.6943441007127,Up
BraA09001898,0.005,0.005,0.005,1,1,27,0.380929471251051,-10.9168746841811,Not sig
BraA09001899,0.005,1,3,0.005,2,6,0.548006965125729,-0.999099160107547,Not sig
BraA09001904,0.005,1,1,1,2,1,0.230202552696827,-0.996397763319804,Not sig
BraA09001906,14,10,7,0.005,0.005,5,0.0315721833200643,2.62938570696639,Up
BraA09001907,482,551,573,683,831,714,0.0245733235926708,-0.472277339822717,Not sig
BraA09001908,137,147,153,110,179,157,0.897793306366228,-0.0294104304197063,Not sig
BraA09001909,0.005,1,0.005,2,2,2,0.0375355400554172,-2.57060720774409,Down
BraA09001911,62,76,76,70,79,90,0.327474416643051,-0.159399821579602,Not sig
BraA09001912,94,121,134,333,491,289,0.048897698488105,-1.67315465113231,Down
BraA09001913,450,602,562,283,337,427,0.0382471666174982,0.624379136346972,Not sig
BraA09001914,8,9,5,10,5,13,0.501635329532575,-0.347923303420307,Not sig
BraA09001915,245,265,271,227,267,255,0.500774469605797,0.0603568296832284,Not sig
BraA09001916,0.005,1,0.005,1,6,14,0.219744461474458,-4.37796212980169,Not sig
BraA09001918,92,180,171,335,343,261,0.0125467569547124,-1.08381845909876,Down
BraA09001919,11,21,18,7,12,17,0.322379194823393,0.473931188332412,Not sig
BraA09001925,11,9,0.005,0.005,1,0.005,0.201003612946323,4.30793343059381,Not sig
BraA09001927,243,261,357,16,32,13,0.0151414556771112,3.81913208983396,Up
BraA09001928,129,164,169,243,222,201,0.0177136847695534,-0.527629325655205,Not sig
BraA09001930,93,138,84,168,264,315,0.0640971988362809,-1.24575641440196,Not sig
BraA09001931,25,30,24,23,36,61,0.344637446200532,-0.603109847431416,Not sig
BraA09001932,92,100,66,115,118,138,0.0457867792479166,-0.524048121197549,Not sig
BraA09001934,209,202,327,62,109,99,0.0487269217894218,1.45066140900957,Up
BraA09001935,1,0.005,0.005,0.005,1,1,0.518518518518518,-0.989246943703125,Not sig
BraA09001937,26,19,25,11,4,8,0.00637506094691675,1.60572106088795,Up
BraA09001938,7,16,13,17,19,18,0.145966891383469,-0.584962500721156,Not sig
BraA09001939,120,133,108,21,40,74,0.02449886860412,1.41903942983634,Up
BraA09001940,4,3,1,0.005,0.005,0.005,0.094483921353394,9.05889368905357,Not sig
BraA09001941,182,251,213,180,124,237,0.421689918791746,0.25590557086711,Not sig
BraA09001944,44,59,48,2,4,11,0.00234462569187465,3.15094189807474,Up
BraA09001945,1,1,1,0.005,0.005,2,0.668897246961136,0.577766999316952,Not sig
BraA09001946,80,235,133,261,230,236,0.172996395654835,-0.69845663186199,Not sig
BraA09001947,17,14,18,25,17,19,0.235134831142962,-0.316027493447678,Not sig
BraA09001948,0.005,2,1,3,2,2,0.133285497545157,-1.21998993112114,Not sig
BraA09001951,101,101,127,4,3,2,0.00635211127680564,5.19201877229293,Up
BraA09001952,0.005,1,5,0.005,0.005,0.005,0.320982776260087,8.64505793498448,Not sig
BraA09001953,104,161,137,112,127,176,0.873131846766515,-0.0459158350553586,Not sig
BraA09001954,392,418,432,67,60,138,0.00166737152475837,2.22860090876992,Up
BraA09001955,3,8,4,4,5,11,0.569603981011424,-0.415037499278844,Not sig
BraA09001957,748,979,1141,8,12,11,0.0142226319504808,6.53163299831503,Up
BraA09001959,144,194,141,131,168,267,0.562472177900345,-0.240776397095702,Not sig
BraA09001960,50,61,63,91,78,69,0.0579460861864223,-0.451874267459215,Not sig
BraA09001961,352.5,382.5,356.5,1690.5,1662.5,1475.5,0.00250218717442794,-2.14526294720804,Down
BraA09001962,75,104,77,280,247,292,0.000611675428619711,-1.67771964164101,Down
BraA09001963,828,1165,1330,541,1034,2386,0.741291035522655,-0.253378408212588,Not sig
BraA09001964,31,57,34,51,69,106.15,0.153663774753658,-0.890398848181163,Not sig
BraA09001965,51,58,60,39,65,63,0.945342431835976,0.0171751438081322,Not sig
BraA09001972,181,223,216,231,241,217,0.214767473437164,-0.152235767430054,Not sig
BraA09001973,21,26,10,37,34,71,0.126108829044642,-1.31685710533994,Not sig
BraA09001974,6,19,11,3,10,15,0.631614272356199,0.362570079384708,Not sig
BraA09001977,22,24,14,35,61,62,0.0534918217824569,-1.39689015256858,Not sig
BraA09001978,77,87,35,0.005,0.005,2,0.0538907448634575,6.62942911913944,Not sig
BraA09001979,0.005,0.005,0.005,0.005,2,6,0.26988610504959,-9.0597950917951,Not sig
BraA09001980,25,27,33,20,41,28,0.854078630017546,-0.0663424948286962,Not sig
BraA09001981,251,277,326,286,347,280,0.556471243035529,-0.0963787903637315,Not sig
BraA09001984,33,7,13,1934,1718,777,0.054424478646993,-6.38484482732212,Not sig
BraA09001985,51.66,36,2,59,108,110.7,0.0492771380619368,-1.63099077265552,Down
BraA09001986,0.005,1,0.005,1,1,2,0.10139614421257,-1.98564470702293,Not sig
BraA09001987,176,214,250,163,139,157,0.0935392301455652,0.479577751473554,Not sig
BraA09001988,0.005,9,2,0.005,0.005,0.005,0.31133395507611,9.5189809291704,Not sig
BraA09001989,62,109,111,0.005,0.005,0.005,0.0278086577262947,14.1984450414524,Up
BraA09001990,437,536,541,628,679,543,0.0999547822140311,-0.289160065417943,Not sig
BraA09001993,84,129,103,142,167,209,0.0537776621012657,-0.713027539509451,Not sig
BraA09001994,308,303,379,292,352,330,0.869074154645175,0.0235067528846298,Not sig
BraA09001995,637,434,616,74,90,90,0.0171845628253346,2.7315595715154,Up
BraA09001996,0.005,0.005,0.005,5,4,10,0.0762953940024052,-10.3068212024972,Not sig
BraA09001997,8,6,9,9,2,25,0.590513777264225,-0.646363045385299,Not sig
BraA09001998,13,16,12,7,2,23,0.684686850691276,0.357552004618084,Not sig
BraA09002000,316,362,318,448,537,519,0.0109438453814618,-0.594586919609556,Not sig
BraA09002001,410,484,521,11,6,3,0.0047156791282225,6.14465824283188,Up
BraA09002002,476,652,555,889,1043,906,0.00548893341186023,-0.753839412730602,Not sig
BraA09002003,8,5,9,70,58,53,0.00649258662653813,-3.04041426844591,Down
BraA09002004,1.6,1,0.3,3.3,0.16,1.06,0.63353510302317,-0.640269872400253,Not sig
BraA09002006,92,139,95,23,38,79,0.0522745186887408,1.21944513728611,Not sig
BraA09002007,6,6,0.005,0.005,1,1,0.235118449080182,2.5819612617755,Not sig
BraA09002008,62,84,64,175,185,153,0.00143801237017507,-1.28856949794093,Down
BraA09002010,9,11,5,14,11,16,0.0823177262315209,-0.713695814843359,Not sig
BraA09002011,3,12,4,37,16,23,0.0733161491604603,-2,Not sig
BraA09002012,110.68,147.74,175.09,21.16,16.1,75.31,0.0158431762339252,1.94524287403051,Up
BraA09002014,2308.32,2575.26,2809.91,558.84,769.9,562.69,0.00150217913999426,2.02416081219897,Up
BraA09002015,175,211,231,264,336,208,0.222001709071693,-0.389084803602377,Not sig
BraA09002017,94,161,126,784,631,371,0.0569786130250086,-2.2288691776279,Not sig
BraA09002019,57.17,130.31,72.56,100.07,212.74,270.37,0.151603330640769,-1.16520768441253,Not sig
BraA09002020,4,2,4,7,11,13,0.0442827603428563,-1.63226821549951,Down
BraA09002021,451,6,318,5,0.005,0.005,0.191007388279582,7.27324189674112,Not sig
BraA09002024,23,47,43,34,29,63,0.756395328725304,-0.157100961084729,Not sig
BraA09002025,17,5,11,2,2,5,0.138460188976747,1.87446911791614,Not sig
BraA09002026,27,27,26,21,29,25,0.546572549450049,0.0931094043914815,Not sig
BraA09002027,8,11,11,2,0.5,0.5,0.00430208254822426,3.32192809488736,Up
BraA09002028,40,53,57.37,43,33,96,0.751844990379853,-0.193891798233465,Not sig
BraA09002029,132,193,156,173,229,359,0.226774757310894,-0.661859559733503,Not sig
BraA09002031,8,11,11,2,0.5,0.5,0.00430208254822426,3.32192809488736,Up
BraA09002035,0.005,0.005,1,0.005,1,1,0.518518518518518,-0.989246943703125,Not sig
BraA09002036,54,73,66,40,42,163,0.712582150571376,-0.34418090173449,Not sig
BraA09002037,17,20,20,6,8,10,0.00212845330106838,1.24792751344359,Up
BraA09002038,1015,1126,1121,2057,2017,1838,0.00125460863848681,-0.857889487434267,Not sig
BraA09002040,68,81,77,4,4,4,0.00289159327360602,4.23521646169403,Up
BraA09002041,13,21,8,14,7,30,0.724812764825933,-0.280107919192735,Not sig
BraA09002043,315,369,314,343,397,584,0.272454972755947,-0.407791401469957,Not sig
BraA09002044,16,12,13,0.005,0.005,3,0.00144810870429632,3.76778851763311,Up
BraA09002045,182,228,237,144,147,130,0.0379167604750185,0.619945478926111,Not sig
BraA09002046,222,256,241,605,714,456,0.040242845719382,-1.30375534884011,Down
BraA09002047,107,180,107,127,123,302,0.476747773170581,-0.486472637321793,Not sig
BraA09002048,97,125,122,286,313,214,0.0259034860370007,-1.24084678737293,Down
BraA09002049,131,185,145,70,49,80,0.0162333456063844,1.21199831988569,Up
BraA09002052,105,128,104,188,216,237,0.00737865960460237,-0.927575765436883,Not sig
BraA09002054,1,0.005,0.005,4,3,0.005,0.233311338504007,-2.79402975767902,Not sig
BraA09002055,0.005,1,0.005,104,66,34,0.0789229875557778,-7.65807004899443,Not sig
BraA09002056,79,113,110,108,106,107,0.619177069968799,-0.0880247477972242,Not sig
BraA09002057,672,890,795,1086,1416,1088,0.0434922139091677,-0.607032085460246,Not sig
BraA09002059,777,822,831,378,329,460,0.00303386381558513,1.0581517527858,Up
BraA09002060,42,79,64,121,96,104,0.0308468287778698,-0.795048026605991,Not sig
BraA09002061,17,40,21,11,2,7,0.0988485816901269,1.96347412397489,Not sig
BraA09002064,11,24,18,18,20,41,0.371669404363354,-0.575860293613904,Not sig
BraA09002066,4,10,5,3,1,4,0.176845752794383,1.24792751344359,Not sig
BraA09002067,2,0.005,3,0.005,0.005,0.005,0.199420996835043,8.38226375811484,Not sig
BraA09002070,32,60,40,1,9,7,0.0356428243597865,2.95693127810811,Up
