,TH-1,TH-2,TH-3,CK-1,CK-2,CK-3,pvalue,log2FC,UPDOWN
XLOC_012949,276,259,272,207,323,220,0.657400422534751,0.105678077894537,Not sig
XLOC_013060,224,169,215,199,132,290,0.935826729053042,-0.0305219447768961,Not sig
XLOC_013089,2600,1205,2126,1686,2199,3357,0.534548876443417,-0.288112805025814,Not sig
XLOC_013227,11,15,6,10,8,32,0.524106047258332,-0.643856189774725,Not sig
XLOC_013258,42,27,38,54,51,56,0.0458306172708944,-0.58944989171347,Not sig
XLOC_013303,1,3,1,1,6,2,0.487319796883939,-0.84799690655495,Not sig
XLOC_013402,39,31,40,38,28,47,0.881768641342977,-0.0388192488905282,Not sig
XLOC_013410,18,16,16,15.38,23,14,0.806247687843003,-0.0670879648011468,Not sig
XLOC_013434,20.79,10,14,11.63,19,40,0.423386076296843,-0.657104430308264,Not sig
XLOC_013461,3,1,3,4,4,4,0.129611720221511,-0.777607578663552,Not sig
XLOC_013591,0.005,1,0.005,0.005,2,3,0.266479847477928,-2.3090147760842,Not sig
XLOC_013604,164,86,74,93,218,308,0.252818249249744,-0.93394559632964,Not sig
XLOC_013607,19,19.73,12,16.38,15,15.33,0.642896117099977,0.119107715330946,Not sig
XLOC_013608,2,4,2,3,0.005,6,0.869884123455102,-0.170726276131551,Not sig
XLOC_013633,69.07,83.65,67.27,55.42,73.62,35.66,0.230417881846522,0.417597390147921,Not sig
XLOC_013643,62,103,91,85,68,232,0.498397609315503,-0.588714635582264,Not sig
XLOC_013650,279,239,338,156,258,192,0.114892535811619,0.498293002928196,Not sig
XLOC_013719,1,2,0.005,5,3,82,0.380844878040843,-4.90448810539321,Not sig
XLOC_013996,212,196,216,240,192,298,0.368091804566915,-0.226350434905131,Not sig
XLOC_014043,2,1,0.005,0.005,0.005,3,0.998931709794875,-0.00239849604851671,Not sig
XLOC_014065,162,198,334,151,115,100,0.16431595086859,0.923092014294218,Not sig
XLOC_014072,9,5,15,9,9,4,0.533499284762885,0.398549376490275,Not sig
XLOC_014088,27,26,19,39,32,35,0.0265925835688341,-0.557995453120887,Not sig
XLOC_014108,98,127,66,102,91,199,0.447270382380138,-0.429834501206924,Not sig
XLOC_014127,15,9.11,12,11,14,12,0.886741107556308,-0.0351268504550346,Not sig
XLOC_014159,33,24,27,31,32,14,0.741753870463445,0.125530882083859,Not sig
XLOC_014203,28,31,17,14,21,15,0.168151547991434,0.604071323668861,Not sig
XLOC_014205,32,65,65,49,44,59,0.799173461980592,0.0919224894410394,Not sig
XLOC_014261,1,5,1,2,4,2,0.837691496516938,-0.192645077942396,Not sig
XLOC_014580,8,2,13,11,17,10,0.272965079349972,-0.724365557386572,Not sig
XLOC_014654,6,3,1,4,1,0.005,0.428594688048721,0.998558025826094,Not sig
XLOC_014859,0.005,0.005,0.005,3,1,7,0.173546581908938,-9.51832530769087,Not sig
XLOC_014937,36,23,51,39,37,28,0.835860192694987,0.0809199953835675,Not sig
XLOC_015035,2032,1908,2222,1376,1982,1653,0.146991696664307,0.298300144609774,Not sig
XLOC_015097,349,258,271,279,83,481,0.929591414974088,0.0586883085932759,Not sig
XLOC_015117,171,182,192,224,364,234,0.17509662453055,-0.592882164017394,Not sig
XLOC_015249,11,10,12,4,7,14,0.464473019623906,0.400537929583729,Not sig
XLOC_015265,30,28,19,38,46,71,0.108252324743878,-1.00933786457934,Not sig
XLOC_015297,1,0.005,3,0.005,0.005,0.005,0.270069503221121,8.06069593168755,Not sig
XLOC_015396,707,1719,695,1571,2329,3980,0.141829487053931,-1.33618727242453,Not sig
XLOC_015406,2,1,2,1,1,11,0.508068352579138,-1.37851162325373,Not sig
XLOC_015433,19,33,18,24,31,25,0.578047836587721,-0.192645077942396,Not sig
XLOC_015497,43,36,48,35,28,61,0.932102267904058,0.0344883763852906,Not sig
XLOC_015557,0.005,0.005,0.005,0.005,1,1,0.183503419072274,-7.06249592573376,Not sig
XLOC_015572,1,1,1,0.005,0.005,5,0.726321940084343,-0.739848102699327,Not sig
XLOC_015579,224,228,210,300,198,203,0.734735780019583,-0.0825832272034055,Not sig
