	TH-1	TH-2	TH-3	T-1	T-2	T-3	pvalue	log2FC	UPDOWN
BraA04002121	0.005	0.005	0.005	4	3	6	0.0390973122051904	-9.75933340719466	Down
BraA04002122	7	2	8	15	22	12	0.0477539320154886	-1.52724700286487	Down
BraA04002126	2	0.005	0.005	4	13	5	0.137862837736424	-3.45223611723309	Not sig
BraA04002127	949	802	1020	490	511	497	0.0213089012300132	0.887369087022666	Not sig
BraA04002128	17	9	5	3	11	7	0.47998666283535	0.561878887608115	Not sig
BraA04002129	0.005	1	0.005	191	160	223	0.00892852335168427	-9.15055163369862	Down
BraA04002130	0.005	0.005	0.005	1	4	5	0.109405432485842	-9.38082178394093	Not sig
BraA04002131	0.005	0.005	0.005	25	35	23	0.0175340312080862	-12.4339331204005	Down
BraA04002132	22	2	13	11	7	2	0.442150710294328	0.887525270741587	Not sig
BraA04002133	130	62	87	21	17	3	0.048790578035209	2.7665693072111	Up
BraA04002137	60	4	21	10	16	4	0.38431621504561	1.50250034052918	Not sig
BraA04002141	1	0.005	0.005	48	67	78	0.0181186468995997	-7.57810174429101	Down
BraA04002142	26	27	7	134	187.96	167	0.00541775631991206	-3.02668204265251	Down
BraA04002146	9	1	0.005	635	509	578	0.00387109717894978	-7.42722016526583	Down
BraA04002148	11	5	10	20	22	11	0.0989926894793297	-1.02748073642211	Not sig
BraA04002149	78	54	49	34	61	49	0.358791297845305	0.329920885640893	Not sig
BraA04002150	0.005	0.005	0.005	2	9	2	0.204750228003026	-9.75933340719466	Not sig
BraA04002152	27	9	13	23	27	22	0.293178833062911	-0.555215157327104	Not sig
BraA04002153	28	11	6	6	9	2	0.294058404509006	1.40439025507934	Not sig
BraA04002158	106	57	198	18	18	21	0.133683682704397	2.66296501272243	Not sig
BraA04002159	1	2	0.005	6	1	2	0.321638930159347	-1.58256001050585	Not sig
BraA04002160	809	645	742	388	521	317	0.01482073120993	0.840919075314417	Not sig
BraA04002162	22	22	31	5	3	5	0.016703713061421	2.52837897235479	Up
BraA04002165	30	13	29	51	60	46	0.0170765885834512	-1.12469574744931	Down
BraA04002167	37	27	41	697	554	1038	0.0366598637184045	-4.44625622988956	Down
BraA04002170	0.005	0.005	0.005	29	26	39	0.0153741642980525	-12.6134825407312	Down
BraA04002171	634.55	332	466.97	262	483.84	372	0.39144986192312	0.35884832730479	Not sig
BraA04002172	6	3	9	1	4	0.005	0.11760253187838	1.84655493238104	Not sig
BraA04002173	1	0.005	4	11	5	4	0.135618479728928	-1.99855802582609	Not sig
BraA04002174	27	29	72	31	61	41	0.92811501230323	-0.0552824355011897	Not sig
BraA04002175	20	31	29	7	8	3	0.0139163969435902	2.15200309344505	Up
BraA04002176	81	86	133	47	47	46	0.0843533468338679	1.09953567355091	Not sig
BraA04002178	56	78	57	193	322	332	0.0365556976317256	-2.14878933129645	Down
BraA04002179	81	92	77	75	61	59	0.0537677455035019	0.358453970912476	Not sig
BraA04002184	287	325.01	321	149	198	151	0.00255660641228785	0.905746801670167	Not sig
BraA04002185	3	2	0.005	3	1	1	0.998873078649575	0.00144197417390632	Not sig
BraA04002187	6	0.5	0.005	84.5	102.5	102.5	0.001967911499854	-5.47587048104617	Down
BraA04002190	189	170	161	58	64	61	0.00398837792424706	1.50666797474441	Up
BraA04002191	0.005	2	0.005	11	15	21	0.0303183185803768	-4.54739335027343	Down
BraA04002192	105	86	72	58	71	39	0.0764572860398487	0.646601566513542	Not sig
BraA04002193	1	4	1	6	2	2	0.471800857092931	-0.736965594166206	Not sig
BraA04002195	25	3	3	18	9	6	0.940258839446744	-0.0901978089715781	Not sig
BraA04002196	4	0.005	4	0.005	0.005	0.005	0.183503419072274	9.0597950917951	Not sig
BraA04002197	436	405	673	69	97	92	0.0373244257566387	2.55292223456248	Up
BraA04002200	4	0.005	1	0.005	0.005	0.005	0.300231439459847	8.38226375811484	Not sig
